date,state_group,fire_count,year,month,day,season_day
2021-11-27,Delhi,0,2021,11,27,58
2021-11-28,Delhi,0,2021,11,28,59
2021-11-29,Delhi,0,2021,11,29,60
2021-11-30,Delhi,0,2021,11,30,61
2021-10-01,Other,27,2021,10,1,1
2021-10-02,Other,21,2021,10,2,2
2021-10-03,Other,96,2021,10,3,3
2021-10-04,Other,48,2021,10,4,4
2021-10-05,Other,26,2021,10,5,5
2021-10-06,Other,38,2021,10,6,6
2021-10-07,Other,95,2021,10,7,7
2021-10-08,Other,117,2021,10,8,8
2021-10-09,Other,228,2021,10,9,9
2021-10-10,Other,213,2021,10,10,10
2021-10-11,Other,123,2021,10,11,11
2021-10-12,Other,106,2021,10,12,12
2021-10-13,Other,234,2021,10,13,13
2021-10-14,Other,388,2021,10,14,14
2021-10-15,Other,473,2021,10,15,15
2021-10-16,Other,279,2021,10,16,16
2021-10-17,Other,53,2021,10,17,17
2021-10-18,Other,59,2021,10,18,18
2021-10-19,Other,352,2021,10,19,19
2021-10-20,Other,462,2021,10,20,20
2021-10-21,Other,389,2021,10,21,21
2021-10-22,Other,361,2021,10,22,22
2021-10-23,Other,25,2021,10,23,23
2021-10-24,Other,35,2021,10,24,24
2021-10-25,Other,235,2021,10,25,25
2021-10-26,Other,164,2021,10,26,26
2021-10-27,Other,122,2021,10,27,27
2021-10-28,Other,214,2021,10,28,28
2021-10-29,Other,249,2021,10,29,29
2021-10-30,Other,414,2021,10,30,30
2021-10-31,Other,500,2021,10,31,31
2021-11-01,Other,234,2021,11,1,32
2021-11-02,Other,174,2021,11,2,33
2021-11-03,Other,193,2021,11,3,34
2021-11-04,Other,385,2021,11,4,35
2021-11-05,Other,412,2021,11,5,36
2021-11-06,Other,310,2021,11,6,37
2021-11-07,Other,376,2021,11,7,38
2021-11-08,Other,327,2021,11,8,39
2021-11-09,Other,290,2021,11,9,40
2021-11-10,Other,409,2021,11,10,41
2021-11-11,Other,290,2021,11,11,42
2021-11-12,Other,174,2021,11,12,43
2021-11-13,Other,261,2021,11,13,44
2021-11-14,Other,244,2021,11,14,45
2021-11-15,Other,325,2021,11,15,46
2021-11-16,Other,311,2021,11,16,47
2021-11-17,Other,162,2021,11,17,48
2021-11-18,Other,131,2021,11,18,49
2021-11-19,Other,120,2021,11,19,50
2021-11-20,Other,198,2021,11,20,51
2021-11-21,Other,394,2021,11,21,52
2021-11-22,Other,157,2021,11,22,53
2021-11-23,Other,92,2021,11,23,54
2021-11-24,Other,78,2021,11,24,55
2021-11-25,Other,95,2021,11,25,56
2021-11-26,Other,97,2021,11,26,57
2021-11-27,Other,141,2021,11,27,58
2021-11-28,Other,71,2021,11,28,59
2021-11-29,Other,56,2021,11,29,60
2021-11-30,Other,62,2021,11,30,61
2022-10-01,Punjab,46,2022,10,1,1
2022-10-02,Punjab,102,2022,10,2,2
2022-10-03,Punjab,55,2022,10,3,3
2022-10-04,Punjab,86,2022,10,4,4
2022-10-05,Punjab,102,2022,10,5,5
2022-10-06,Punjab,102,2022,10,6,6
2022-10-07,Punjab,65,2022,10,7,7
2022-10-08,Punjab,24,2022,10,8,8
2022-10-09,Punjab,4,2022,10,9,9
2022-10-10,Punjab,1,2022,10,10,10
2022-10-11,Punjab,48,2022,10,11,11
2022-10-12,Punjab,103,2022,10,12,12
2022-10-13,Punjab,133,2022,10,13,13
2022-10-14,Punjab,66,2022,10,14,14
2022-10-15,Punjab,168,2022,10,15,15
2022-10-16,Punjab,233,2022,10,16,16
2022-10-17,Punjab,363,2022,10,17,17
2022-10-18,Punjab,402,2022,10,18,18
2022-10-19,Punjab,268,2022,10,19,19
2022-10-20,Punjab,111,2022,10,20,20
2022-10-21,Punjab,311,2022,10,21,21
2022-10-22,Punjab,638,2022,10,22,22
2022-10-23,Punjab,1045,2022,10,23,23
2022-10-24,Punjab,953,2022,10,24,24
2022-10-25,Punjab,803,2022,10,25,25
2022-10-26,Punjab,897,2022,10,26,26
2022-10-27,Punjab,1227,2022,10,27,27
2022-10-28,Punjab,1856,2022,10,28,28
2022-10-29,Punjab,2021,2022,10,29,29
2022-10-30,Punjab,1542,2022,10,30,30
2022-10-31,Punjab,1736,2022,10,31,31
2022-11-01,Punjab,1924,2022,11,1,32
2022-11-02,Punjab,2875,2022,11,2,33
2022-11-03,Punjab,2901,2022,11,3,34
2022-11-04,Punjab,1660,2022,11,4,35
2022-11-05,Punjab,2963,2022,11,5,36
2022-11-06,Punjab,561,2022,11,6,37
2022-11-07,Punjab,2289,2022,11,7,38
2022-11-08,Punjab,659,2022,11,8,39
2022-11-09,Punjab,1225,2022,11,9,40
2022-11-10,Punjab,2031,2022,11,10,41
2022-11-11,Punjab,3085,2022,11,11,42
2022-11-12,Punjab,2508,2022,11,12,43
2022-11-13,Punjab,2018,2022,11,13,44
2022-11-14,Punjab,0,2022,11,14,45
2022-11-15,Punjab,130,2022,11,15,46
2022-11-16,Punjab,985,2022,11,16,47
2022-11-17,Punjab,1073,2022,11,17,48
2022-11-18,Punjab,623,2022,11,18,49
2022-11-19,Punjab,489,2022,11,19,50
2022-11-20,Punjab,273,2022,11,20,51
2022-11-21,Punjab,229,2022,11,21,52
2022-11-22,Punjab,157,2022,11,22,53
2022-11-23,Punjab,126,2022,11,23,54
2022-11-24,Punjab,86,2022,11,24,55
2022-11-25,Punjab,55,2022,11,25,56
2022-11-26,Punjab,59,2022,11,26,57
2022-11-27,Punjab,35,2022,11,27,58
2022-11-28,Punjab,26,2022,11,28,59
2022-11-29,Punjab,17,2022,11,29,60
2022-11-30,Punjab,18,2022,11,30,61
2022-10-01,Haryana,2,2022,10,1,1
2022-10-02,Haryana,19,2022,10,2,2
2022-10-03,Haryana,4,2022,10,3,3
2022-10-04,Haryana,12,2022,10,4,4
2022-10-05,Haryana,21,2022,10,5,5
2022-10-06,Haryana,28,2022,10,6,6
2022-10-07,Haryana,7,2022,10,7,7
2022-10-08,Haryana,0,2022,10,8,8
2022-10-09,Haryana,1,2022,10,9,9
2022-10-10,Haryana,2,2022,10,10,10
2022-10-11,Haryana,2,2022,10,11,11
2022-10-12,Haryana,5,2022,10,12,12
2022-10-13,Haryana,20,2022,10,13,13
2022-10-14,Haryana,34,2022,10,14,14
2022-10-15,Haryana,49,2022,10,15,15
2022-10-16,Haryana,98,2022,10,16,16
2022-10-17,Haryana,100,2022,10,17,17
2022-10-18,Haryana,197,2022,10,18,18
2022-10-19,Haryana,114,2022,10,19,19
2022-10-20,Haryana,87,2022,10,20,20
2022-10-21,Haryana,98,2022,10,21,21
2022-10-22,Haryana,165,2022,10,22,22
2022-10-23,Haryana,295,2022,10,23,23
2022-10-24,Haryana,296,2022,10,24,24
2022-10-25,Haryana,111,2022,10,25,25
2022-10-26,Haryana,109,2022,10,26,26
2022-10-27,Haryana,115,2022,10,27,27
2022-10-28,Haryana,139,2022,10,28,28
2022-10-29,Haryana,172,2022,10,29,29
2022-10-30,Haryana,113,2022,10,30,30
2022-10-31,Haryana,81,2022,10,31,31
2022-11-01,Haryana,108,2022,11,1,32
2022-11-02,Haryana,153,2022,11,2,33
2022-11-03,Haryana,162,2022,11,3,34
2022-11-04,Haryana,52,2022,11,4,35
2022-11-05,Haryana,116,2022,11,5,36
2022-11-06,Haryana,52,2022,11,6,37
2022-11-07,Haryana,49,2022,11,7,38
2022-11-08,Haryana,16,2022,11,8,39
2022-11-09,Haryana,58,2022,11,9,40
2022-11-10,Haryana,56,2022,11,10,41
2022-11-11,Haryana,135,2022,11,11,42
2022-11-12,Haryana,131,2022,11,12,43
2022-11-13,Haryana,152,2022,11,13,44
2022-11-14,Haryana,18,2022,11,14,45
2022-11-15,Haryana,37,2022,11,15,46
2022-11-16,Haryana,72,2022,11,16,47
2022-11-17,Haryana,69,2022,11,17,48
2022-11-18,Haryana,112,2022,11,18,49
2022-11-19,Haryana,105,2022,11,19,50
2022-11-20,Haryana,48,2022,11,20,51
2022-11-21,Haryana,27,2022,11,21,52
2022-11-22,Haryana,51,2022,11,22,53
