date,latitude,longitude,count,frp
2023-10-06,29.70,76.80,1,3.23
2023-10-06,29.76,76.20,1,2.52
2023-10-06,29.82,75.72,1,4.80
2023-10-06,29.82,76.08,1,7.90
2023-10-06,29.88,74.94,2,2.90
2023-10-06,29.94,74.94,2,1.98
2023-10-06,29.94,75.66,2,18.01
2023-10-06,29.94,76.02,2,9.27
2023-10-06,30.00,76.02,2,4.00
2023-10-06,30.06,77.16,1,1.99
2023-10-06,30.18,76.32,1,3.84
2023-10-06,30.18,76.92,1,4.63
2023-10-06,30.18,77.04,1,3.67
2023-10-06,30.30,76.02,1,2.42
2023-10-06,30.30,76.20,1,1.94
2023-10-06,30.30,76.92,1,1.32
2023-10-06,30.30,77.16,1,2.83
2023-10-06,30.36,76.98,1,6.47
2023-10-06,30.42,77.04,1,2.99
2023-10-06,30.48,75.06,2,17.75
2023-10-06,30.48,75.90,2,11.35
2023-10-06,30.48,76.50,2,6.12
2023-10-06,30.48,76.98,1,20.47
2023-10-06,30.48,77.16,2,8.70
2023-10-06,30.54,76.14,1,3.11
2023-10-06,30.54,76.56,1,4.99
2023-10-06,30.60,76.62,1,3.19
2023-10-06,30.66,74.70,1,3.45
2023-10-06,30.78,74.40,2,18.17
2023-10-06,30.78,75.96,1,2.35
2023-10-06,30.90,77.10,1,3.58
2023-10-06,30.96,74.64,1,3.56
2023-10-06,31.02,75.30,1,4.90
2023-10-06,31.14,76.02,1,1.95
2023-10-06,31.26,75.06,2,4.35
2023-10-06,31.26,75.18,1,3.54
2023-10-06,31.38,74.64,1,2.39
2023-10-06,31.38,75.06,4,31.45
2023-10-06,31.44,74.82,1,3.39
2023-10-06,31.44,75.12,4,23.98
2023-10-06,31.50,75.00,1,9.06
2023-10-06,31.50,75.06,1,2.49
2023-10-06,31.50,75.12,1,4.71
2023-10-06,31.50,75.24,1,1.90
2023-10-06,31.56,74.58,1,1.17
2023-10-06,31.56,74.64,1,3.63
2023-10-06,31.56,74.82,1,2.69
2023-10-06,31.56,75.12,1,2.88
2023-10-06,31.62,75.24,4,16.26
2023-10-06,31.68,74.82,2,9.69
2023-10-06,31.68,75.00,2,4.99
2023-10-06,31.68,75.12,1,2.84
2023-10-06,31.68,75.18,3,8.10
2023-10-06,31.74,74.82,1,2.40
2023-10-06,31.74,74.88,1,8.88
2023-10-06,31.74,74.94,2,7.54
2023-10-06,31.74,75.00,1,3.82
2023-10-06,31.74,75.06,1,2.40
2023-10-06,31.80,74.94,1,6.48
2023-10-06,31.80,75.06,1,6.54
2023-10-06,31.86,74.64,1,4.12
2023-10-06,31.86,75.06,1,3.87
2023-10-06,31.92,74.76,1,3.36
2023-10-06,31.98,75.12,1,3.01
